
Symbol table '.dynsym' contains 2370 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
   158: 0000000000063490  1283 FUNC    GLOBAL DEFAULT   15 psiginfo@@GLIBC_2.10
   159: 00000000001456f0   186 FUNC    GLOBAL DEFAULT   15 __nss_hostname_digits_dots@@GLIBC_2.2.5
   160: 00000000000e3300    19 FUNC    GLOBAL DEFAULT   15 execv@@GLIBC_2.2.5
   161: 0000000000061e50   197 FUNC    GLOBAL DEFAULT   15 sprintf@@GLIBC_2.2.5
   162: 000000000008b8c0   332 FUNC    GLOBAL DEFAULT   15 _IO_putc@@GLIBC_2.2.5
   163: 000000000011fd00    37 FUNC    GLOBAL DEFAULT   15 nfsservctl@GLIBC_2.2.5
   164: 00000000000a2a80   329 FUNC    GLOBAL DEFAULT   15 envz_merge@@GLIBC_2.2.5
   165: 00000000000da6b0    72 FUNC    WEAK   DEFAULT   15 strftime_l@@GLIBC_2.3
   166: 0000000000030710  2532 FUNC    GLOBAL DEFAULT   15 setlocale@@GLIBC_2.2.5
   167: 00000000000a1540   240 FUNC    GLOBAL DEFAULT   15 memfrob@@GLIBC_2.2.5
   168: 00000000000bd280   537 FUNC    WEAK   DEFAULT   15 mbrtowc@@GLIBC_2.2.5
   169: 00000000000475f0   154 FUNC    WEAK   DEFAULT   15 srand@@GLIBC_2.2.5
   170: 0000000000123540   129 FUNC    WEAK   DEFAULT   15 iswcntrl_l@@GLIBC_2.3
   171: 000000000015cdb0   225 FUNC    WEAK   DEFAULT   15 getutid_r@@GLIBC_2.2.5
   172: 00000000000e38b0  1355 FUNC    WEAK   DEFAULT   15 execvpe@@GLIBC_2.11
   173: 0000000000122ae0   141 FUNC    WEAK   DEFAULT   15 iswblank@@GLIBC_2.2.5
   174: 000000000009e210     5 FUNC    GLOBAL DEFAULT   15 tr_break@@GLIBC_2.2.5
   175: 0000000000094700    98 FUNC    GLOBAL DEFAULT   15 __libc_pthread_init@@GLIBC_PRIVATE
   176: 000000000012f1b0    28 FUNC    GLOBAL DEFAULT   15 __vfwprintf_chk@@GLIBC_2.4
   177: 00000000000858f0   155 FUNC    GLOBAL DEFAULT   15 fgetws_unlocked@@GLIBC_2.2.5
   178: 000000000010e090   153 FUNC    WEAK   DEFAULT   15 __write@@GLIBC_2.2.5
   179: 0000000000114f90   181 FUNC    GLOBAL DEFAULT   15 __select@@GLIBC_2.2.5
   180: 00000000001230e0   101 FUNC    WEAK   DEFAULT   15 towlower@@GLIBC_2.2.5
   181: 000000000010f7d0   960 FUNC    WEAK   DEFAULT   15 ttyname_r@@GLIBC_2.2.5
   182: 0000000000082940   246 FUNC    GLOBAL DEFAULT   15 fopen@@GLIBC_2.2.5
   183: 0000000000106b80   310 FUNC    GLOBAL DEFAULT   15 gai_strerror@@GLIBC_2.2.5
   184: 0000000000124140   538 FUNC    GLOBAL DEFAULT   15 fgetspent@@GLIBC_2.2.5
   185: 000000000009f930   466 FUNC    GLOBAL DEFAULT   15 strsignal@@GLIBC_2.2.5
   186: 00000000000bca40    84 FUNC    WEAK   DEFAULT   15 wcsncpy@@GLIBC_2.2.5
   187: 000000000009f740    99 IFUNC   GLOBAL DEFAULT   15 strncmp@@GLIBC_2.2.5
   188: 0000000000132630  1092 FUNC    GLOBAL DEFAULT   15 getnetbyname_r@@GLIBC_2.2.5
   189: 0000000000133220   277 FUNC    GLOBAL DEFAULT   15 getprotoent_r@@GLIBC_2.2.5
   190: 0000000000154830   241 FUNC    GLOBAL DEFAULT   15 svcfd_create@@GLIBC_2.2.5
   191: 0000000000116d20    42 FUNC    WEAK   DEFAULT   15 ftruncate@@GLIBC_2.2.5
   192: 000000000014af10   105 FUNC    GLOBAL DEFAULT   15 xdr_unixcred@@GLIBC_2.2.5
   193: 0000000000036300    20 FUNC    WEAK   DEFAULT   15 dcngettext@@GLIBC_2.2.5
   194: 00000000001475b0   138 FUNC    GLOBAL DEFAULT   15 xdr_rmtcallres@@GLIBC_2.2.5
   195: 0000000000084450   476 FUNC    GLOBAL DEFAULT   15 _IO_puts@@GLIBC_2.2.5
   196: 00000000001608d0   106 FUNC    GLOBAL DEFAULT   15 _dl_catch_error@@GLIBC_PRIVATE
   197: 000000000013ef40   215 FUNC    GLOBAL DEFAULT   15 inet_nsap_addr@@GLIBC_2.2.5
   198: 000000000013e180    58 FUNC    WEAK   DEFAULT   15 inet_aton@@GLIBC_2.2.5
   199: 0000000000117930   300 FUNC    GLOBAL DEFAULT   15 ttyslot@@GLIBC_2.2.5
   200: 00000000001f1568     8 OBJECT  GLOBAL DEFAULT   35 __rcmd_errstr@@GLIBC_2.2.5
   201: 000000000010af30    97 FUNC    GLOBAL DEFAULT   15 wordfree@@GLIBC_2.2.5
   202: 000000000010c3c0   106 FUNC    WEAK   DEFAULT   15 posix_spawn_file_actions_addclose@@GLIBC_2.2.5
   203: 00000000000dea40    69 FUNC    WEAK   DEFAULT   15 getdirentries@@GLIBC_2.2.5
   204: 0000000000093660    78 FUNC    GLOBAL DEFAULT   15 _IO_unsave_markers@@GLIBC_2.2.5
   205: 0000000000091f80    95 FUNC    GLOBAL DEFAULT   15 _IO_default_uflow@@GLIBC_2.2.5
   206: 00000000000495c0    20 FUNC    GLOBAL DEFAULT   15 __strtold_internal@@GLIBC_2.2.5
   207: 000000000012ec80    49 FUNC    GLOBAL DEFAULT   15 __wcpcpy_chk@@GLIBC_2.4
   208: 00000000001ec344     4 OBJECT  GLOBAL DEFAULT   34 optind@@GLIBC_2.2.5
   209: 00000000000a8a30   184 FUNC    GLOBAL DEFAULT   15 __strcpy_small@GLIBC_2.2.5
   210: 0000000000047e00    70 FUNC    GLOBAL DEFAULT   15 erand48@@GLIBC_2.2.5
   211: 00000000000e0ff0   471 FUNC    GLOBAL DEFAULT   15 __merge_grp@@GLIBC_PRIVATE
   212: 00000000000be9b0    14 FUNC    WEAK   DEFAULT   15 wcstoul_l@@GLIBC_2.3
   213: 000000000011f960    37 FUNC    WEAK   DEFAULT   15 modify_ldt@@GLIBC_2.2.5
   214: 00000000001f1558     8 OBJECT  GLOBAL DEFAULT   35 argp_program_version@@GLIBC_2.2.5
   215: 000000000009b280   704 FUNC    GLOBAL DEFAULT   15 __libc_memalign@@GLIBC_2.2.5
   216: 0000000000120830   125 FUNC    GLOBAL DEFAULT   15 isfdtype@@GLIBC_2.2.5
   217: 00000000000a8780    37 FUNC    GLOBAL DEFAULT   15 __strcspn_c1@GLIBC_2.2.5
   218: 0000000000115dd0   219 FUNC    GLOBAL DEFAULT   15 getfsfile@@GLIBC_2.2.5
   219: 00000000000a87b0    41 FUNC    GLOBAL DEFAULT   15 __strcspn_c2@GLIBC_2.2.5
   220: 0000000000047fc0    16 FUNC    GLOBAL DEFAULT   15 lcong48@@GLIBC_2.2.5
   221: 00000000000a87e0    54 FUNC    GLOBAL DEFAULT   15 __strcspn_c3@GLIBC_2.2.5
   222: 00000000000e16c0   186 FUNC    GLOBAL DEFAULT   15 getpwent@@GLIBC_2.2.5
   223: 0000000000100260   251 FUNC    WEAK   DEFAULT   15 re_match_2@@GLIBC_2.2.5
   224: 0000000000144370   989 FUNC    GLOBAL DEFAULT   15 __nss_next2@@GLIBC_PRIVATE
   225: 00000000001eee48     8 OBJECT  WEAK   DEFAULT   35 __free_hook@@GLIBC_2.2.5
   226: 00000000000df900   749 FUNC    GLOBAL DEFAULT   15 putgrent@@GLIBC_2.2.5
   227: 0000000000134680   277 FUNC    GLOBAL DEFAULT   15 getservent_r@@GLIBC_2.2.5
   228: 00000000000a2210    81 FUNC    WEAK   DEFAULT   15 argz_stringify@@GLIBC_2.2.5
   229: 000000000008aaf0   250 FUNC    GLOBAL DEFAULT   15 open_wmemstream@@GLIBC_2.4
   230: 000000000013c1d0   337 FUNC    GLOBAL DEFAULT   15 inet6_opt_append@@GLIBC_2.5
   231: 00000000000dd000    53 FUNC    GLOBAL DEFAULT   15 clock_getcpuclockid@GLIBC_2.2.5
   232: 00000000000dd000    53 FUNC    GLOBAL DEFAULT   15 clock_getcpuclockid@@GLIBC_2.17
